origen,destino,duracion,precio,calidad_del_boleto
Cádiz,Santa Cruz de Tenerife,22.91,180.14,Básico
Santa Cruz de Tenerife,Alicante,15.22,244.16,Estándar
Vigo,Málaga,14.85,135.21,Básico
Málaga,Valencia,13.57,123.03,Premium
Vigo,Las Palmas,19.81,168.33,Básico
Cádiz,Huelva,8.42,128.54,Estándar
Almería,Palma,5.53,76.32,Básico
Santa Cruz de Tenerife,Alicante,16.77,325.53,VIP
Vigo,Las Palmas,21.82,298.4,Estándar
Santander,Bilbao,7.85,85.06,Básico
Málaga,A Coruña,7.95,91.64,Estándar
Castellón,Lugo,11.02,183.2,Estándar
Vigo,Las Palmas,21.21,203.85,Estándar
Málaga,Lugo,7.26,71.63,Básico
Lugo,Málaga,9.18,117.42,Básico
Huelva,Valencia,11.77,164.33,Básico
Murcia,Cádiz,11.54,103.34,Estándar
Almería,Palma,8.04,142.53,Premium
Castellón,Palma,15.76,139.29,Básico
Castellón,Lugo,11.81,208.52,Premium
Tarragona,Málaga,8.37,74.74,Básico
Tarragona,Málaga,5.29,77.27,Básico
Cádiz,Tarragona,6.09,55.54,Estándar
Castellón,Palma,6.84,101.14,Estándar
Castellón,Bilbao,9.87,124.56,Estándar
Castellón,Bilbao,14.28,145.42,Básico
Lugo,Barcelona,5.27,50.95,Básico
Málaga,Santa Cruz de Tenerife,15.72,178.76,Básico
Huelva,A Coruña,12.23,94.98,Estándar
Cádiz,Huelva,6.7,75.57,Básico
Lugo,Barcelona,4.86,53.45,Estándar
Tarragona,Málaga,14.03,223.24,Premium
Castellón,Lugo,7.54,98.94,Básico
Huelva,Murcia,4.12,74.47,Premium
Málaga,Las Palmas,11.37,175.02,Estándar
Alicante,Vigo,4.64,44.5,Básico
Palma,Girona,14.51,181.98,Básico
Tarragona,Alicante,9.51,194.0,Premium
Murcia,A Coruña,14.65,162.18,Básico
Vigo,Castellón,7.32,106.86,Básico
Málaga,A Coruña,14.01,201.57,Básico
Girona,Tarragona,6.25,82.1,Estándar
Bilbao,Málaga,15.83,222.23,Premium
Málaga,Las Palmas,18.05,199.6,Estándar
Gijón,Málaga,10.38,124.91,Básico
Castellón,Lugo,6.79,60.77,Básico
Alicante,Vigo,8.55,128.18,Premium
Barcelona,Málaga,17.12,157.74,Básico
Málaga,Lugo,6.79,95.04,Estándar
Málaga,Lugo,16.2,209.09,Básico
Málaga,Las Palmas,22.0,399.0,Premium
Vigo,Las Palmas,14.6,153.82,Estándar
Tarragona,Alicante,11.27,155.12,Estándar
Vigo,Las Palmas,18.9,146.56,Básico
Lugo,Barcelona,9.95,117.65,Básico
Santa Cruz de Tenerife,Alicante,19.22,241.57,Premium
Castellón,Lugo,14.02,134.92,Básico
Valencia,Vigo,15.55,202.57,Estándar
Cádiz,Huelva,5.92,72.43,Estándar
Málaga,Palma,14.03,179.01,Estándar
Cádiz,Huelva,18.64,183.63,Básico
Las Palmas,A Coruña,19.26,300.38,Premium
Cádiz,Santa Cruz de Tenerife,30.34,261.23,Estándar
Las Palmas,Valencia,19.6,160.53,Estándar
Castellón,Palma,16.05,134.08,Estándar
Vigo,Las Palmas,12.95,126.91,Básico
Castellón,Gijón,15.95,115.17,Básico
Cádiz,Murcia,5.61,86.98,Estándar
Palma,Castellón,11.43,141.55,Estándar
Santa Cruz de Tenerife,Alicante,29.35,210.25,Estándar
Málaga,Murcia,9.23,95.03,Premium
Barcelona,Castellón,11.55,112.99,Básico
Castellón,Palma,5.17,60.79,Estándar
Castellón,Lugo,8.46,106.01,Estándar
Gijón,Bilbao,6.22,69.99,Básico
A Coruña,Alicante,5.98,77.52,Básico
Alicante,Bilbao,14.77,137.77,Básico
Lugo,Barcelona,11.01,148.75,Premium
Valencia,Huelva,17.8,199.66,Estándar
Bilbao,Murcia,17.94,138.97,Estándar
Castellón,Palma,17.72,136.17,Básico
Las Palmas,A Coruña,13.67,96.55,Básico
Palma,Almería,7.38,73.05,Básico
Las Palmas,A Coruña,22.17,386.21,Premium
Santa Cruz de Tenerife,Alicante,20.06,148.78,Básico
Castellón,Palma,12.62,132.3,Básico
A Coruña,Alicante,11.63,138.71,Estándar
Castellón,Lugo,15.53,241.27,VIP
Santa Cruz de Tenerife,Alicante,29.06,355.26,Estándar
Lugo,Barcelona,6.2,59.55,Básico
Santa Cruz de Tenerife,Alicante,16.93,124.74,Estándar
Lugo,Santander,18.26,179.38,Básico
Murcia,Cádiz,9.45,159.15,Estándar
