origen,destino,duracion,precio,calidad_del_boleto
Tarragona,Lugo,11.43,86.91,Básico
Santander,Murcia,11.89,113.59,Básico
Las Palmas,Lugo,17.13,119.83,Básico
Huelva,Santa Cruz de Tenerife,15.72,112.33,Básico
Cádiz,Málaga,9.16,110.69,Básico
Tarragona,Bilbao,8.2,107.87,Estándar
Palma,Las Palmas,14.14,92.43,Básico
Palma,Las Palmas,26.31,177.04,Básico
Castellón,Tarragona,14.7,197.27,Estándar
Málaga,Murcia,12.99,126.67,Básico
Bilbao,Lugo,6.61,70.57,Estándar
Barcelona,Huelva,4.23,57.63,Premium
Lugo,Cádiz,16.45,164.8,Estándar
Tarragona,Bilbao,4.68,62.36,Básico
Cádiz,Bilbao,8.23,98.17,Básico
Bilbao,Gijón,11.04,76.63,Básico
Santander,Barcelona,13.59,112.23,Estándar
Gijón,Las Palmas,23.45,255.85,Básico
Murcia,Santander,14.66,195.23,Estándar
Huelva,Santa Cruz de Tenerife,20.39,188.71,Estándar
Santa Cruz de Tenerife,Lugo,19.92,238.1,Estándar
Santander,Murcia,11.23,97.32,Básico
Vigo,Lugo,8.26,95.65,Estándar
Santander,Lugo,6.86,58.03,Estándar
Santander,Murcia,15.5,111.42,Básico
Lugo,Alicante,19.23,258.52,Estándar
Cádiz,Las Palmas,18.74,138.12,Estándar
Las Palmas,Lugo,28.5,202.58,Básico
Vigo,Santa Cruz de Tenerife,14.39,138.96,Estándar
Girona,Castellón,11.59,98.89,Estándar
Valencia,Almería,18.33,146.64,Estándar
Lugo,Cádiz,15.49,167.57,Estándar
Cádiz,Santander,9.64,92.74,Básico
Palma,Las Palmas,27.11,252.48,Estándar
Cádiz,Bilbao,16.73,125.76,Estándar
Castellón,Lugo,7.11,85.55,Premium
Bilbao,Las Palmas,19.69,152.7,Estándar
Almería,A Coruña,5.17,63.56,Básico
A Coruña,Vigo,18.62,166.28,Estándar
Santander,Almería,7.98,81.23,Básico
Tarragona,Bilbao,5.86,127.32,VIP
Las Palmas,Huelva,25.89,300.83,Premium
Murcia,Málaga,13.03,156.71,Básico
Barcelona,Huelva,8.24,78.57,Premium
Huelva,Alicante,7.41,93.41,Estándar
Cádiz,Gijón,11.6,96.51,Básico
A Coruña,Valencia,13.85,86.71,Básico
Huelva,Vigo,6.52,74.73,Básico
Las Palmas,Palma,19.61,162.58,Premium
Gijón,Las Palmas,21.08,171.55,Premium
Las Palmas,Valencia,20.19,202.08,Básico
Las Palmas,Palma,23.49,227.47,Estándar
Huelva,Santa Cruz de Tenerife,18.02,260.15,VIP
Palma,Lugo,14.44,174.29,Estándar
Bilbao,Murcia,11.31,147.14,Premium
Santander,Murcia,16.8,132.01,Estándar
Palma,Las Palmas,25.68,302.34,Premium
Huelva,Tarragona,9.14,93.9,Estándar
Huelva,Alicante,6.48,79.08,Básico
Alicante,Santa Cruz de Tenerife,27.43,319.13,Básico
Santa Cruz de Tenerife,Lugo,19.9,190.97,Básico
Vigo,Santa Cruz de Tenerife,17.52,355.42,VIP
Las Palmas,Vigo,23.88,303.31,Estándar
Málaga,Tarragona,4.55,36.91,Básico
Santander,Almería,11.44,145.74,Estándar
Lugo,Cádiz,12.4,86.63,Estándar
Santander,Murcia,10.2,130.82,Básico
Palma,Las Palmas,17.59,194.79,Premium
Cádiz,Gijón,11.49,129.83,Básico
Huelva,Alicante,8.63,87.44,Premium
Girona,Castellón,12.23,84.92,Básico
Almería,Castellón,11.58,182.85,Premium
Las Palmas,Lugo,25.31,235.46,Estándar
Huelva,Vigo,14.68,252.91,Premium
Almería,Bilbao,11.08,182.79,Premium
Las Palmas,A Coruña,13.15,161.0,Estándar
Santander,Almería,14.38,122.86,Estándar
Palma,Lugo,8.62,71.68,Estándar
Alicante,Santa Cruz de Tenerife,24.06,263.94,Básico
Huelva,Santa Cruz de Tenerife,18.14,208.25,Básico
Santander,Murcia,11.01,100.78,Básico
Tarragona,Bilbao,10.8,138.92,Estándar
Bilbao,Gijón,7.43,87.96,Básico
Santander,Barcelona,9.23,70.12,Básico
Murcia,Málaga,7.05,87.15,Básico
Lugo,A Coruña,17.58,176.71,Estándar
Bilbao,Murcia,17.65,136.52,Básico
Lugo,Cádiz,16.15,160.37,Estándar
Huelva,Gijón,11.99,90.52,Estándar
Tarragona,Las Palmas,19.38,180.81,Estándar
Alicante,Barcelona,5.41,54.45,Estándar
A Coruña,Barcelona,6.67,75.56,Estándar
Palma,Almería,11.44,124.62,Estándar
Castellón,Málaga,11.44,100.31,Estándar
Valencia,Castellón,4.54,56.12,Estándar
Las Palmas,Lugo,18.8,144.21,Básico
Castellón,Las Palmas,33.23,377.63,Básico
Lugo,Santander,13.26,154.79,Básico
Santa Cruz de Tenerife,Bilbao,18.15,171.44,Básico
A Coruña,Gijón,12.61,152.52,Estándar
Alicante,Santander,18.61,214.85,Básico
Málaga,Castellón,16.29,116.2,Estándar
Bilbao,Murcia,7.68,102.69,Estándar
Barcelona,Santander,11.39,134.6,Premium
Santander,Murcia,7.16,106.56,Estándar
Huelva,Alicante,6.03,56.06,Estándar
Vigo,Lugo,16.02,100.85,Básico
Las Palmas,Palma,19.0,204.22,Básico
Santander,Santa Cruz de Tenerife,23.67,169.16,Básico
Santander,Murcia,7.13,61.27,Estándar
Huelva,Tarragona,15.52,109.15,Básico
Bilbao,Gijón,14.73,106.56,Básico
Vigo,Lugo,6.51,85.54,Básico
Las Palmas,Lugo,11.21,143.09,Básico
Las Palmas,Palma,29.49,293.64,Básico
Palma,Santander,15.84,163.69,Básico
Lugo,Cádiz,12.18,171.85,Estándar
