origen,destino,duracion,precio,calidad_del_boleto
Valencia,Las Palmas,2.53,68.92,Básico
Barcelona,Sevilla,1.26,58.25,Básico
Las Palmas,Santander,3.85,161.25,Básico
Valencia,Málaga,1.76,67.22,Básico
Alicante,Vigo,2.59,130.59,Premium
Santander,Málaga,2.94,81.71,Estándar
Málaga,A Coruña,3.1,128.15,Básico
Madrid,Málaga,3.68,74.22,Básico
Madrid,Zaragoza,1.01,73.06,Premium
Madrid,Santa Cruz de Tenerife,2.79,148.56,Premium
Alicante,Sevilla,1.85,69.76,Básico
Zaragoza,Santander,3.35,136.55,Estándar
Bilbao,Palma,0.71,47.78,Estándar
Valencia,Sevilla,2.2,55.79,Básico
Málaga,Zaragoza,1.48,103.54,VIP
Granada,Madrid,3.36,118.97,Básico
Granada,Las Palmas,3.07,121.37,Básico
Alicante,Santa Cruz de Tenerife,3.02,125.47,Estándar
Valencia,Sevilla,2.41,79.63,Básico
Santander,Las Palmas,3.12,86.32,Estándar
Vigo,A Coruña,3.25,109.75,Premium
Vigo,Bilbao,3.19,77.09,Estándar
Bilbao,Vigo,3.68,130.33,Básico
Valencia,Santander,0.68,36.69,Básico
Bilbao,Málaga,2.02,105.43,Estándar
Valencia,Sevilla,2.05,73.21,Estándar
Sevilla,Santander,3.29,83.16,Básico
Santander,Málaga,1.31,72.26,Estándar
A Coruña,Sevilla,3.0,82.19,Básico
A Coruña,Sevilla,1.92,83.59,Básico
Granada,Zaragoza,3.37,88.16,Básico
Valencia,A Coruña,3.21,89.23,Básico
Bilbao,Palma,1.2,44.63,Estándar
Málaga,Madrid,1.77,108.59,VIP
Granada,Valencia,2.6,91.46,Estándar
Valencia,Madrid,2.86,110.37,Básico
Barcelona,Santa Cruz de Tenerife,1.54,53.52,Básico
Madrid,Santa Cruz de Tenerife,3.28,196.51,VIP
Barcelona,Santa Cruz de Tenerife,3.88,104.27,Estándar
A Coruña,Alicante,2.9,67.87,Básico
Valencia,Sevilla,2.62,118.26,Estándar
Valencia,Bilbao,2.6,67.65,Básico
Sevilla,Santander,2.2,94.09,Básico
Vigo,Sevilla,1.6,109.45,Premium
Valencia,Santander,1.76,150.86,VIP
Madrid,Palma,3.01,82.49,Básico
Valencia,Las Palmas,2.0,71.34,Estándar
Bilbao,Palma,1.89,76.76,Básico
Bilbao,Las Palmas,3.19,78.02,Básico
Sevilla,Málaga,1.31,59.21,Premium
Alicante,Santa Cruz de Tenerife,2.18,115.95,Estándar
Las Palmas,Sevilla,2.87,111.51,Básico
Barcelona,Santa Cruz de Tenerife,2.97,126.82,Básico
Zaragoza,Vigo,1.11,48.55,Básico
A Coruña,Vigo,2.59,77.53,Estándar
Granada,Palma,2.44,79.51,Básico
Málaga,Madrid,2.15,65.3,Estándar
A Coruña,Málaga,2.54,95.58,Básico
Bilbao,Palma,3.31,121.88,Premium
Valencia,Santander,1.95,82.0,Básico
Vigo,Sevilla,3.03,78.41,Básico
Barcelona,Valencia,2.21,57.65,Básico
Vigo,A Coruña,2.09,80.04,Premium
Santa Cruz de Tenerife,Zaragoza,3.24,86.78,Estándar
Madrid,Las Palmas,4.29,128.77,Básico
Alicante,Palma,2.72,64.43,Básico
Alicante,Vigo,0.98,42.39,Estándar
Granada,Palma,2.71,103.08,Básico
Málaga,Valencia,2.88,128.61,Premium
Madrid,Santa Cruz de Tenerife,2.52,77.97,Estándar
A Coruña,Sevilla,3.17,117.09,Básico
Las Palmas,Sevilla,2.72,103.56,Básico
Sevilla,A Coruña,1.46,47.02,Estándar
Granada,Barcelona,1.27,79.18,Premium
Santa Cruz de Tenerife,Santander,4.03,118.16,Básico
