origen,destino,duracion,precio,calidad_del_boleto
Sevilla,Zaragoza,2.9,76.05,Básico
Alicante,Palma,2.45,105.04,Básico
Alicante,Palma,2.02,116.3,Estándar
Vigo,Madrid,1.4,85.38,Premium
Palma,Santander,2.3,155.74,Premium
Madrid,Palma,2.54,111.03,Premium
Palma,Bilbao,2.0,74.1,Estándar
A Coruña,Vigo,3.11,121.31,Básico
Madrid,Santander,3.15,92.54,Básico
Granada,Valencia,2.08,134.13,VIP
Málaga,Palma,1.88,95.93,Básico
Málaga,Las Palmas,2.69,160.78,Premium
Sevilla,Santa Cruz de Tenerife,3.72,186.48,Estándar
Las Palmas,Barcelona,4.36,106.99,Básico
Santander,Palma,3.47,134.95,Básico
Alicante,Granada,3.43,137.15,Básico
Vigo,Valencia,1.38,69.27,Estándar
Granada,Valencia,1.84,89.77,Básico
Madrid,Valencia,3.62,155.03,Estándar
Granada,Málaga,3.07,141.28,Estándar
Valencia,Alicante,0.94,59.97,Premium
Vigo,Valencia,3.27,137.47,Estándar
Málaga,Bilbao,1.42,90.98,Premium
Sevilla,Málaga,1.75,67.41,Básico
Santa Cruz de Tenerife,Santander,3.48,125.69,Básico
Granada,Málaga,2.66,97.69,Básico
Madrid,Palma,2.45,105.58,Básico
A Coruña,Santander,0.96,55.4,Básico
A Coruña,Zaragoza,3.47,198.15,Premium
Las Palmas,Alicante,3.68,117.71,Estándar
Madrid,Granada,2.81,93.72,Básico
A Coruña,Madrid,2.89,98.94,Básico
Alicante,Palma,1.03,41.42,Básico
Málaga,Vigo,0.92,47.78,Estándar
Palma,Granada,0.87,49.57,Estándar
Santa Cruz de Tenerife,Santander,4.86,214.82,VIP
Vigo,A Coruña,2.45,102.13,Básico
Málaga,Palma,2.83,82.82,Básico
Madrid,Granada,2.89,123.5,Estándar
Granada,Málaga,1.92,71.23,Básico
A Coruña,Alicante,3.17,81.05,Básico
Las Palmas,Alicante,2.66,114.17,Estándar
Madrid,Granada,2.9,109.82,Estándar
Santander,Bilbao,3.02,201.29,VIP
A Coruña,Zaragoza,2.71,118.69,Básico
Bilbao,Sevilla,3.18,130.63,Estándar
Las Palmas,Barcelona,4.33,315.66,VIP
Vigo,Bilbao,2.42,90.6,Estándar
Bilbao,Sevilla,3.2,95.39,Básico
Palma,Barcelona,1.55,66.56,Estándar
Madrid,Santa Cruz de Tenerife,3.23,188.26,VIP
Santa Cruz de Tenerife,A Coruña,2.2,68.8,Básico
Barcelona,Málaga,1.96,118.69,VIP
Santander,Palma,1.91,93.2,Estándar
Palma,Santander,2.94,134.01,Básico
Santander,Palma,2.39,98.57,Básico
Alicante,Granada,3.25,154.3,Estándar
Barcelona,Granada,0.88,69.73,Premium
Santa Cruz de Tenerife,Santander,3.67,173.06,Básico
Alicante,Bilbao,1.04,46.39,Básico
Madrid,Granada,2.78,96.35,Estándar
Santander,A Coruña,2.13,71.6,Básico
Santander,Palma,3.06,102.85,Estándar
Barcelona,Málaga,1.03,105.19,VIP
Málaga,Santander,2.43,71.37,Básico
Sevilla,A Coruña,2.01,120.11,Estándar
Bilbao,Málaga,2.77,110.76,Básico
Santa Cruz de Tenerife,Santander,3.86,170.42,Estándar
Madrid,Palma,3.33,123.03,Básico
Las Palmas,Barcelona,2.02,134.72,Premium
Málaga,Zaragoza,2.64,88.78,Básico
Barcelona,Granada,2.54,116.25,Básico
Palma,Granada,2.33,114.81,Básico
Málaga,Las Palmas,1.82,63.27,Estándar
A Coruña,Madrid,1.87,75.48,Estándar
Palma,Santander,2.35,127.56,Estándar
Madrid,Santander,2.95,128.56,Básico
Santander,Palma,3.5,146.61,Básico
Vigo,Bilbao,2.36,107.02,Estándar
Bilbao,A Coruña,1.37,67.09,Estándar
Las Palmas,Zaragoza,3.82,134.24,Básico
Palma,Santander,2.65,123.06,Premium
A Coruña,Vigo,2.47,81.85,Básico
Palma,Granada,0.75,43.82,Estándar
Sevilla,Santa Cruz de Tenerife,4.09,181.5,VIP
Barcelona,Santa Cruz de Tenerife,3.07,122.59,Básico
Bilbao,Madrid,1.64,87.6,Básico
Madrid,Granada,1.48,89.01,Premium
Palma,Santander,2.47,137.65,Premium
Santander,Barcelona,1.94,109.62,VIP
Granada,Valencia,2.2,75.7,Estándar
A Coruña,Madrid,3.06,136.8,Básico
Barcelona,Santa Cruz de Tenerife,1.91,61.06,Básico
Bilbao,Sevilla,1.45,49.58,Básico
Málaga,Palma,3.07,148.47,Estándar
Málaga,Las Palmas,2.11,102.58,Básico
Zaragoza,A Coruña,2.75,199.98,VIP
Las Palmas,Sevilla,4.31,152.1,Básico
Barcelona,Valencia,0.59,42.77,Básico
Santander,Barcelona,2.76,150.57,Premium
Santander,Palma,1.07,45.09,Básico
Vigo,Bilbao,0.65,58.44,VIP
Bilbao,Sevilla,1.05,86.91,Premium
Vigo,Valencia,3.58,103.93,Estándar
Madrid,Granada,1.64,80.15,Estándar
Las Palmas,Vigo,3.29,92.95,Básico
Barcelona,Málaga,1.9,117.05,VIP
Barcelona,Málaga,3.2,138.72,Básico
Barcelona,Las Palmas,4.07,177.33,Básico
Madrid,Granada,2.48,107.31,Estándar
Valencia,Bilbao,0.89,56.07,Básico
Vigo,Valencia,1.39,51.5,Estándar
Vigo,Bilbao,1.42,66.24,Básico
A Coruña,Alicante,3.2,136.4,Básico
Las Palmas,Barcelona,3.63,127.93,Básico
Las Palmas,Zaragoza,3.81,133.01,Básico
Madrid,Palma,2.5,157.52,Premium
Valencia,A Coruña,3.44,156.15,Básico
Granada,Valencia,3.05,125.68,Premium
Alicante,Sevilla,3.44,143.41,Básico
Granada,Santa Cruz de Tenerife,2.35,92.04,Estándar
Málaga,Palma,1.19,48.84,Básico
Madrid,Granada,1.04,53.23,Básico
Palma,Valencia,3.32,173.36,Estándar
Santa Cruz de Tenerife,Santander,3.24,113.62,Estándar
Las Palmas,Barcelona,2.1,92.81,Estándar
Santa Cruz de Tenerife,Palma,5.53,236.74,Estándar
A Coruña,Zaragoza,3.1,127.72,Básico
Las Palmas,Barcelona,2.4,110.93,Básico
Santander,Málaga,3.76,203.94,Premium
Málaga,Palma,1.83,61.58,Básico
Palma,Alicante,2.24,67.86,Básico
Madrid,Vigo,3.1,105.33,Básico
Barcelona,Granada,1.83,78.66,Estándar
Alicante,Palma,0.97,62.49,Premium
Granada,Valencia,1.59,85.71,Básico
A Coruña,Granada,2.04,142.82,VIP
Santa Cruz de Tenerife,Santander,4.87,167.1,Estándar
Alicante,Granada,2.84,138.54,Estándar
Barcelona,Granada,2.48,100.88,Estándar
Santa Cruz de Tenerife,Santander,2.88,102.78,Básico
Granada,Valencia,3.57,156.76,Estándar
Vigo,Bilbao,2.34,84.33,Básico
Sevilla,Málaga,2.41,110.54,Premium
Bilbao,Valencia,2.94,82.42,Básico
Zaragoza,Barcelona,1.77,145.32,VIP
Palma,Santander,1.09,44.44,Básico
