origen,destino,duracion,precio,calidad_del_boleto
Madrid,Burgos,1.24,28.16,Premium
Girona,León,5.97,96.39,Estándar
Barcelona,Oviedo,3.64,60.14,Básico
Toledo,Alicante,5.32,89.46,Premium
Tarragona,Burgos,3.0,43.54,Básico
Pamplona,Santander,3.81,75.39,Premium
Bilbao,Tarragona,1.29,36.53,Premium
Vigo,Málaga,4.93,78.44,Estándar
Gijón,Toledo,2.54,48.89,Estándar
Pamplona,Santander,5.46,71.99,Básico
Santander,Girona,2.29,40.9,Estándar
Valencia,Burgos,3.08,40.49,Premium
Alicante,Madrid,2.23,57.31,Estándar
Santander,Burgos,1.64,37.5,Premium
Toledo,Madrid,4.49,74.2,Básico
Pamplona,Santander,4.63,61.94,Básico
Burgos,Alicante,3.85,52.79,Premium
Murcia,Córdoba,5.36,117.99,Estándar
Girona,Málaga,4.13,96.96,Premium
Toledo,Murcia,1.73,30.58,Básico
Logroño,Barcelona,2.85,71.97,Estándar
Pamplona,Santander,4.51,91.76,Premium
Burgos,Alicante,6.02,155.92,Premium
Vigo,Málaga,3.26,61.53,Estándar
Alicante,Zaragoza,5.45,92.14,Premium
Toledo,Oviedo,5.7,100.38,Premium
Valencia,Burgos,3.87,116.64,Premium
Málaga,Oviedo,3.64,63.35,Estándar
Logroño,León,1.71,31.03,Premium
Burgos,Toledo,3.64,63.14,Básico
Vigo,Madrid,4.16,73.01,Premium
Sevilla,Bilbao,4.8,144.46,VIP
Santander,León,2.05,43.24,Estándar
Gijón,Logroño,3.75,121.47,VIP
Pamplona,Santander,4.5,79.96,Premium
Barcelona,León,5.75,143.14,Premium
Barcelona,Vigo,2.11,68.39,VIP
Alicante,Zaragoza,1.5,31.02,Premium
Salamanca,Burgos,3.11,64.35,Estándar
Gijón,Toledo,5.24,73.57,Premium
Girona,Tarragona,1.59,45.16,Premium
Gijón,Toledo,3.94,95.49,VIP
Valencia,Logroño,3.2,63.12,Premium
Gijón,Logroño,2.01,34.25,Básico
Logroño,Oviedo,1.67,48.13,Premium
Valladolid,Logroño,5.62,83.92,Premium
Sevilla,Bilbao,2.21,56.23,VIP
Valencia,Burgos,1.85,34.36,Básico
Logroño,León,5.34,86.98,Básico
Valencia,Burgos,3.52,65.75,Básico
Toledo,Alicante,3.09,72.79,Básico
Barcelona,Pamplona,4.12,98.53,Estándar
Gijón,Toledo,3.26,70.55,Estándar
Logroño,Barcelona,5.78,94.22,Básico
Santander,León,3.29,65.76,Estándar
Valladolid,Córdoba,6.71,153.21,Premium
Madrid,Burgos,5.18,79.17,Premium
Sevilla,Granada,1.48,27.83,Premium
Madrid,Córdoba,4.95,69.84,Premium
Córdoba,Bilbao,2.19,33.0,Básico
Sevilla,Bilbao,5.88,97.23,Básico
Gijón,Logroño,1.86,34.32,Estándar
Alicante,Zaragoza,4.58,90.1,Estándar
Logroño,León,1.2,48.23,VIP
Valladolid,Logroño,4.7,132.53,Premium
Tarragona,Burgos,5.76,93.8,Estándar
Sevilla,Bilbao,0.94,25.23,Estándar
Valladolid,Granada,1.02,27.74,Básico
A Coruña,Burgos,3.76,57.2,Premium
Sevilla,Bilbao,4.49,86.42,Básico
Burgos,Toledo,1.64,40.89,Estándar
A Coruña,Salamanca,4.4,70.45,Básico
Oviedo,Toledo,4.28,77.72,Básico
Sevilla,Bilbao,6.3,149.61,Premium
Sevilla,Toledo,4.89,72.52,Estándar
Barcelona,Zaragoza,5.03,102.49,Premium
Sevilla,Granada,2.44,54.14,Estándar
Logroño,Barcelona,2.21,54.95,Estándar
Logroño,Barcelona,4.78,91.53,Estándar
Santander,Pamplona,1.91,45.43,Estándar
Santander,Alicante,3.28,69.44,Básico
Logroño,Vigo,5.02,84.95,Básico
Madrid,Burgos,2.92,42.37,Básico
Barcelona,Salamanca,1.2,31.58,Estándar
Madrid,Córdoba,2.7,58.06,Premium
Granada,Zaragoza,1.86,37.3,Básico
Madrid,Córdoba,1.79,55.01,Premium
Valladolid,Logroño,1.17,43.03,VIP
Barcelona,Salamanca,3.15,72.9,Estándar
Santander,Sevilla,5.13,119.44,Premium
Gijón,Logroño,1.54,45.1,Estándar
Valladolid,Logroño,6.04,111.56,Premium
Gijón,A Coruña,5.25,95.99,Premium
Logroño,A Coruña,5.62,93.63,Estándar
Burgos,Alicante,4.98,81.67,Estándar
Toledo,Alicante,3.13,44.23,Básico
Salamanca,Valladolid,1.46,35.25,Premium
Santander,Sevilla,3.11,88.42,VIP
A Coruña,Salamanca,4.66,89.37,Premium
Barcelona,Vigo,4.66,64.35,Premium
Toledo,Alicante,4.06,78.74,Premium
Madrid,Córdoba,4.75,104.57,Premium
Gijón,Toledo,5.45,89.53,Estándar
Santander,León,1.05,32.08,Premium
Santander,Pamplona,3.4,58.11,Premium
Gijón,Toledo,2.59,44.17,Estándar
Toledo,Alicante,6.61,114.79,Estándar
Sevilla,Tarragona,3.02,59.43,Estándar
Santander,Pamplona,6.09,119.4,Estándar
Alicante,Bilbao,5.61,103.26,Premium
A Coruña,Salamanca,6.28,108.91,Premium
Burgos,Alicante,4.26,133.01,Premium
Logroño,Granada,0.88,30.88,Estándar
Logroño,Barcelona,5.0,94.43,Premium
A Coruña,Salamanca,1.47,34.22,Estándar
Granada,Zaragoza,5.9,78.36,Básico
Santander,Burgos,0.98,28.32,Premium
Sevilla,Bilbao,3.86,108.19,Premium
Pamplona,Santander,1.52,35.1,Básico
Santander,Pamplona,4.1,57.83,Estándar
Salamanca,Tarragona,2.64,61.29,Premium
Oviedo,Bilbao,4.48,131.72,Premium
Madrid,Burgos,4.69,78.17,Básico
Granada,Zaragoza,2.99,71.21,Premium
Vigo,Málaga,4.55,102.99,Premium
Salamanca,Málaga,6.1,102.43,Estándar
Santander,León,3.92,101.77,Premium
Santander,Burgos,4.28,99.76,Estándar
Salamanca,Granada,4.43,87.06,Estándar
Málaga,Logroño,5.14,84.87,Premium
Santander,Pamplona,5.57,79.09,Estándar
Valencia,Burgos,5.88,136.67,Premium
Madrid,Córdoba,2.01,43.93,Estándar
Vigo,Málaga,5.63,88.98,Premium
Salamanca,Sevilla,2.21,48.89,Básico
Logroño,Barcelona,1.08,31.08,Premium
Vigo,Málaga,1.85,37.31,Premium
A Coruña,Salamanca,2.18,48.87,Premium
Barcelona,Valladolid,3.06,86.27,Premium
León,Burgos,3.26,83.54,Premium
Logroño,León,1.75,76.77,VIP
Alicante,Zaragoza,1.01,32.42,Premium
Barcelona,Valencia,2.17,57.07,Premium
Salamanca,Logroño,3.34,77.92,Premium
Valladolid,Logroño,3.2,83.26,Premium
Tarragona,Burgos,2.21,72.35,Premium
A Coruña,Toledo,1.96,43.95,Básico
Santander,León,4.66,79.48,Básico
