origen,destino,fecha,duracion,precio,calidad_del_boleto
A Coruña,Madrid,2026-12-09,0.9,49.96,Básico
Salamanca,Logroño,2026-05-02,0.98,73.2,Estándar
Madrid,Palma,2026-03-07,0.94,58.37,Estándar
Barcelona,Sevilla,2026-05-13,1.31,77.11,Estándar
Barcelona,Santa Cruz de Tenerife,2026-09-16,3.43,159.34,Premium
Bilbao,Palma,2026-04-08,0.95,96.54,Estándar
Bilbao,Palma,2026-10-05,1.1,51.62,Básico
A Coruña,Madrid,2026-10-15,1.06,46.95,Básico
Madrid,Las Palmas,2026-09-04,3.09,88.05,Básico
Zaragoza,Mahón,2026-05-07,0.98,109.05,Premium
Vigo,León,2026-08-23,1.32,44.68,Básico
A Coruña,Madrid,2026-11-30,1.07,49.72,Básico
Pamplona,Santa Cruz de Tenerife,2026-06-02,2.59,137.12,Básico
Madrid,Barcelona,2026-06-23,0.96,61.69,Estándar
Madrid,Palma,2026-08-28,1.76,98.83,Estándar
Madrid,Ibiza,2026-03-01,1.0,66.59,Básico
León,Sevilla,2026-10-03,1.75,76.18,Estándar
Barcelona,Santa Cruz de Tenerife,2026-10-14,4.04,182.61,Estándar
Bilbao,Barcelona,2026-08-28,1.02,38.95,Estándar
Madrid,Barcelona,2026-08-18,1.22,43.74,Estándar
Sevilla,Las Palmas,2026-12-10,4.1,88.78,Básico
A Coruña,Madrid,2026-10-31,1.07,70.49,Estándar
Córdoba,Alicante,2026-09-04,1.68,40.25,Estándar
Málaga,Palma,2026-10-16,1.0,68.67,Básico
Girona,Mahón,2026-08-14,0.97,47.32,Estándar
A Coruña,Madrid,2026-06-08,1.71,63.66,Estándar
Barcelona,Santa Cruz de Tenerife,2026-10-15,3.97,236.32,Premium
Burgos,Mahón,2026-04-13,1.36,112.55,Premium
Bilbao,Palma,2026-11-04,1.17,51.49,Básico
Barcelona,Melilla,2026-03-04,0.67,92.78,VIP
Murcia,Zaragoza,2026-04-13,1.2,133.98,VIP
Madrid,Las Palmas,2026-12-11,2.4,114.26,Básico
Girona,Cádiz,2026-09-21,1.12,63.98,Básico
Alicante,Ibiza,2026-10-20,0.94,43.3,Básico
Madrid,Valencia,2026-10-03,1.32,91.31,Premium
Huelva,Toledo,2026-04-22,1.7,54.95,Estándar
Madrid,Palma,2026-11-23,1.94,89.46,Básico
Alicante,Ibiza,2026-08-01,1.89,66.71,Básico
Valencia,Palma,2026-04-14,1.59,87.21,Estándar
San Sebastián,Toledo,2026-04-07,0.85,33.83,Básico
Madrid,Melilla,2026-07-05,0.9,46.15,Básico
Valencia,Palma,2026-10-24,1.56,69.88,Básico
