origen,destino,fecha,duracion,precio,calidad_del_boleto
Barcelona,Palma,2026-11-03,9.3,53.96,Básico
Ibiza,Huelva,2026-05-28,8.21,47.67,Básico
Santa Cruz de Tenerife,A Coruña,2026-06-14,34.69,176.95,Estándar
Almería,Alicante,2026-10-30,7.68,76.98,Básico
Bilbao,A Coruña,2026-07-15,16.6,67.41,Estándar
Palma,Santander,2026-10-03,8.67,42.1,Básico
Santa Cruz de Tenerife,Melilla,2026-10-08,41.66,128.44,Básico
Cádiz,Las Palmas,2026-10-18,43.61,179.89,Estándar
Cádiz,Las Palmas,2026-07-17,41.8,235.01,Premium
Bilbao,Santander,2026-03-24,15.02,85.28,Básico
A Coruña,Santa Cruz de Tenerife,2026-03-03,36.76,185.91,Estándar
Barcelona,Mahón,2026-08-01,10.72,106.87,Estándar
Vigo,Las Palmas,2026-03-15,48.7,172.0,Básico
Bilbao,Santander,2026-07-30,13.87,67.23,Estándar
Vigo,Las Palmas,2026-05-14,43.87,165.39,Básico
Valencia,Palma,2026-07-11,6.99,80.83,Básico
Barcelona,Palma,2026-08-01,10.14,50.91,Estándar
Bilbao,A Coruña,2026-10-22,19.74,60.71,Básico
Alicante,Ibiza,2026-07-08,8.34,81.42,Estándar
Ceuta,Valencia,2026-07-20,6.23,62.4,Estándar
Bilbao,Almería,2026-03-06,13.7,49.49,Básico
Barcelona,Mahón,2026-10-06,9.22,75.87,Básico
Bilbao,Valencia,2026-11-10,9.49,55.2,Básico
Cádiz,Ceuta,2026-07-08,3.2,30.06,Premium
Málaga,Ceuta,2026-12-01,1.52,38.12,Básico
Santander,Las Palmas,2026-11-10,37.75,163.96,Básico
Ceuta,Cádiz,2026-09-02,7.37,57.93,Estándar
Almería,Melilla,2026-12-18,6.25,88.03,Premium
Vigo,Las Palmas,2026-04-18,43.02,162.44,Básico
Barcelona,Ibiza,2026-11-14,11.39,120.73,Premium
Bilbao,Santander,2026-11-15,16.46,133.58,VIP
Valencia,Mahón,2026-12-05,8.07,43.4,Básico
A Coruña,Santa Cruz de Tenerife,2026-06-28,48.29,157.72,Estándar
Barcelona,Mahón,2026-08-10,12.08,65.86,Básico
Alicante,Ibiza,2026-07-22,6.64,41.46,Básico
A Coruña,Vigo,2026-09-05,10.61,74.83,Básico
Málaga,Ceuta,2026-05-08,6.04,66.43,Estándar
Ceuta,Las Palmas,2026-05-14,49.36,203.99,Estándar
Valencia,Palma,2026-06-06,8.57,92.92,Estándar
