origen,destino,fecha,duracion,precio,calidad_del_boleto
Bilbao,Barcelona,2026-05-14,1.52,91.13,Básico
Barcelona,Melilla,2026-09-02,1.6,108.08,Básico
Palma,Gijón,2026-06-03,1.86,71.67,Básico
Barcelona,Ibiza,2026-10-07,1.31,83.15,Básico
Madrid,Valencia,2026-07-03,0.98,88.25,Premium
Barcelona,Melilla,2026-07-03,1.49,87.83,Estándar
Barcelona,Palma,2026-05-01,1.59,87.14,Básico
Ibiza,Cádiz,2026-05-07,1.15,93.24,Premium
San Sebastián,Tarragona,2026-06-24,1.85,87.33,Premium
Alicante,Ibiza,2026-12-08,1.17,97.82,Premium
Alicante,Ibiza,2026-04-11,1.53,88.52,Premium
Madrid,Valencia,2026-09-02,1.09,51.52,Básico
Sevilla,Valladolid,2026-10-01,1.36,53.7,Básico
Barcelona,Santa Cruz de Tenerife,2026-07-31,3.68,129.71,Premium
Barcelona,Melilla,2026-10-30,1.4,80.71,Premium
Zaragoza,Almería,2026-03-07,1.38,122.01,VIP
Madrid,Barcelona,2026-05-13,1.23,62.56,Básico
Madrid,Córdoba,2026-08-13,0.79,62.35,Básico
Ibiza,Valladolid,2026-12-04,1.27,73.22,Estándar
Madrid,Las Palmas,2026-07-22,2.85,153.49,Premium
Barcelona,Sevilla,2026-10-16,0.65,53.35,Estándar
Madrid,Ibiza,2026-04-21,1.97,134.68,Estándar
Las Palmas,Girona,2026-10-29,4.1,137.34,Premium
Madrid,Girona,2026-09-03,1.26,80.87,Premium
A Coruña,Madrid,2026-04-13,1.86,82.34,Básico
Valencia,Palma,2026-08-02,1.95,86.35,Básico
