origen,destino,duracion,precio,calidad_del_boleto
Gijón,Tarragona,6.05,71.12,Básico
Huelva,Murcia,17.01,231.9,Básico
Valencia,Cádiz,12.52,202.92,Estándar
A Coruña,Barcelona,8.99,120.18,Estándar
Palma,Barcelona,5.54,71.89,Estándar
A Coruña,Barcelona,10.12,130.07,Básico
Gijón,A Coruña,10.52,87.85,Básico
Valencia,A Coruña,12.42,147.6,Estándar
Santa Cruz de Tenerife,Bilbao,12.31,175.42,Premium
Valencia,Almería,10.09,176.0,Premium
Valencia,A Coruña,5.17,74.18,Básico
Santander,Cádiz,6.0,86.47,Estándar
Huelva,Vigo,12.9,161.84,Básico
Palma,Huelva,7.28,107.42,Premium
Gijón,Vigo,3.21,61.56,Premium
Huelva,Murcia,13.11,212.08,Estándar
Málaga,Santa Cruz de Tenerife,19.95,267.33,Estándar
Palma,Huelva,8.34,100.1,Básico
Santa Cruz de Tenerife,A Coruña,14.1,117.49,Básico
Santa Cruz de Tenerife,Gijón,13.69,161.68,Estándar
Castellón,Tarragona,15.8,280.48,Premium
A Coruña,Lugo,9.34,131.48,Básico
Tarragona,Alicante,15.85,132.89,Básico
Valencia,Almería,12.51,174.8,Estándar
Las Palmas,Huelva,24.55,302.16,Básico
A Coruña,Lugo,10.92,278.64,VIP
Palma,Huelva,13.05,164.45,Estándar
Huelva,Murcia,17.21,307.34,Estándar
Alicante,Girona,10.31,149.56,Premium
Alicante,A Coruña,14.41,335.55,Premium
Barcelona,Castellón,5.14,89.41,Estándar
Bilbao,Lugo,14.21,168.37,Premium
A Coruña,Barcelona,4.21,57.97,Premium
Gijón,Tarragona,17.52,223.45,Básico
Huelva,Santa Cruz de Tenerife,27.36,491.68,Premium
Vigo,Santa Cruz de Tenerife,15.87,187.07,Estándar
Vigo,Santa Cruz de Tenerife,19.52,278.3,Premium
Las Palmas,Cádiz,23.87,276.38,Estándar
Palma,Valencia,15.65,191.63,Básico
Valencia,Santa Cruz de Tenerife,22.42,258.34,Estándar
Murcia,Cádiz,7.9,168.11,Premium
A Coruña,Barcelona,7.88,96.9,Básico
Huelva,Vigo,15.89,124.1,Básico
Santa Cruz de Tenerife,Bilbao,17.98,155.2,Estándar
Barcelona,Gijón,10.46,146.57,Premium
Alicante,Girona,6.56,118.58,Premium
Cádiz,Bilbao,14.49,111.22,Premium
Santa Cruz de Tenerife,Girona,21.87,182.34,Premium
Vigo,Huelva,9.32,90.22,Estándar
Girona,Málaga,10.8,140.84,Básico
Vigo,Santa Cruz de Tenerife,23.91,312.61,Premium
Lugo,Málaga,7.45,111.03,Premium
Huelva,Murcia,12.33,183.27,Estándar
Girona,Cádiz,8.36,157.61,VIP
Lugo,Málaga,9.56,142.75,Premium
Huelva,Vigo,8.73,78.1,Básico
Palma,Valencia,20.66,185.22,Básico
Valencia,Tarragona,19.74,356.31,Premium
Santander,Santa Cruz de Tenerife,28.43,637.68,VIP
Santander,Vigo,8.72,84.19,Estándar
A Coruña,Alicante,13.16,213.99,Premium
A Coruña,Barcelona,4.13,64.52,Premium
Lugo,Palma,6.48,114.37,Estándar
Vigo,Almería,16.17,150.64,Básico
Tarragona,Bilbao,9.28,109.5,Premium
Huelva,Murcia,9.87,117.72,Premium
Cádiz,Bilbao,12.83,175.44,Básico
Valencia,Cádiz,8.66,124.78,Premium
Murcia,Valencia,14.49,184.54,Estándar
Bilbao,Vigo,10.22,82.97,Básico
Vigo,Bilbao,6.33,94.7,Básico
Cádiz,Bilbao,7.57,116.54,Básico
Castellón,Vigo,7.37,100.2,Básico
Vigo,A Coruña,7.19,77.35,Básico
Huelva,Vigo,7.27,104.97,Estándar
Lugo,Málaga,15.48,223.17,Básico
A Coruña,Lugo,5.36,92.66,Premium
Valencia,Cádiz,15.28,236.1,Estándar
Alicante,Girona,8.75,139.79,Básico
Castellón,A Coruña,9.06,116.77,Básico
Gijón,Tarragona,16.56,210.17,Estándar
Barcelona,Santa Cruz de Tenerife,16.12,188.75,Premium
Alicante,Girona,16.41,197.6,Premium
Huelva,Murcia,15.53,178.4,Premium
Lugo,Málaga,16.29,160.89,Básico
Murcia,Cádiz,6.44,95.07,Básico
Huelva,Vigo,8.93,78.32,Premium
Palma,A Coruña,7.33,101.11,Básico
Las Palmas,Huelva,17.74,243.32,Premium
Murcia,Vigo,14.38,160.82,Estándar
Murcia,Cádiz,5.2,64.76,Premium
Vigo,Santa Cruz de Tenerife,17.48,297.64,Premium
Vigo,Málaga,13.19,151.32,Estándar
Palma,Huelva,15.03,251.09,Estándar
Vigo,A Coruña,16.13,196.17,Estándar
Santa Cruz de Tenerife,Bilbao,24.35,297.15,VIP
A Coruña,Barcelona,4.2,49.96,Básico
Cádiz,Bilbao,12.25,126.63,Estándar
Santa Cruz de Tenerife,Bilbao,28.36,385.04,Básico
Barcelona,Santa Cruz de Tenerife,20.66,320.83,Básico
Murcia,Girona,7.06,88.93,Estándar
Barcelona,Castellón,12.29,213.63,VIP
Palma,Santa Cruz de Tenerife,25.19,303.27,Premium
A Coruña,Barcelona,16.8,251.78,Premium
Barcelona,Castellón,12.47,148.68,Básico
Valencia,Cádiz,9.98,125.78,Estándar
Valencia,Almería,9.3,93.92,Premium
Valencia,Las Palmas,28.56,352.79,Básico
Palma,Valencia,8.05,102.09,Básico
